time|pressure
 3644093236.8089523315 |   710120
 3644093237.8097953796 |   710118
 3644093238.8098039627 |   710112
 3644093239.8096060753 |   710105
 3644093240.8088860512 |   710097
 3644093241.8097281456 |   710089
 3644093242.8091130257 |   710082
 3644093243.8098511696 |   710076
 3644093244.8090281487 |   710073
 3644093245.8098711967 |   710072
 3644093246.8091521263 |   710074
 3644093247.8090572357 |   710079
 3644093248.8089623451 |   710086
 3644093249.8089723587 |   710093
 3644093250.8090863228 |   710100
 3644093251.8098249435 |   710106
 3644093252.8099393845 |   710110
 3644093253.8097391129 |   710112
 3644093254.8091239929 |   710111
 3644093255.8091330528 |   710109
 3644093256.8090381622 |   710104
 3644093257.8090491295 |   710098
 3644093258.8090572357 |   710093
 3644093259.8091721535 |   710088
 3644093260.8099102974 |   710083
 3644093261.8090863228 |   710081
 3644093262.8089909554 |   710080
 3644093263.8092103004 |   710082
  3644093264.809949398 |   710083
 3644093265.8090200424 |   710086
 3644093266.8091340065 |   710090
 3644093267.8091440201 |   710094
 3644093268.8092570305 |   710098
 3644093269.8092670441 |   710101
 3644093270.8100061417 |   710103
 3644093271.8100152016 |   710106
 3644093272.8092951775 |   710104
  3644093273.809305191 |   710103
 3644093274.8092103004 |   710101
  3644093275.809220314 |   710099
 3644093276.8092303276 |   710095
 3644093277.8093442917 |   710093
 3644093278.8093533516 |   710088
 3644093279.8092579842 |   710086
 3644093280.8092670441 |   710083
 3644093281.8093819618 |   710083
 3644093282.8093919754 |   710083
 3644093283.8092961311 |   710087
 3644093284.8093061447 |   710089
 3644093285.8093161583 |   710094
 3644093286.8094291687 |   710098
 3644093287.8093352318 |   710102
  3644093288.809762001 |   710105
 3644093289.8093533516 |   710108
 3644093290.8094673157 |   710109
 3644093291.8094763756 |   710109
 3644093292.8093819618 |   710108
 3644093293.8097043037 |   710104
  3644093294.809401989 |   710100
 3644093295.8096189499 |   710095
 3644093296.8094201088 |   710091
 3644093297.8094301224 |   710088
  3644093298.809440136 |   710085
    3644093299.8095541 |   710086
 3644093300.8095631599 |   710088
 3644093301.8097801208 |   710092
 3644093302.8094782829 |   710096
 3644093303.8094873428 |   710101
 3644093304.8094959259 |   710106
 3644093305.8094029427 |   710110
 3644093306.8095149994 |   710113
 3644093307.8094220161 |   710113
 3644093308.8055291176 |   710113
 3644093309.8052248955 |   710111
 3644093310.8052330017 |   710108
 3644093311.8050341606 |   710104
 3644093312.8050432205 |   710100
 3644093313.8050513268 |   710097
 3644093314.8051643372 |   710094
 3644093315.8052773476 |   710091
 3644093316.8051819801 |   710091
   3644093317.80519104 |   710093
 3644093318.8051991463 |   710096
 3644093319.8052082062 |   710097
 3644093320.8054251671 |   710101
  3644093321.805226326 |   710104
 3644093322.8051300049 |   710107
 3644093323.8052430153 |   710108
 3644093324.8052520752 |   710109
 3644093325.8052601814 |   710109
 3644093326.8053741455 |   710110
 3644093327.8053822517 |   710109
 3644093328.8057031631 |   710106
   3644093329.80519104 |   710104
 3644093330.8053030968 |   710102
 3644093331.8052082062 |   710098
 3644093332.8053212166 |   710096
 3644093333.8053302765 |   710093
 3644093334.8056511879 |   710092
 3644093335.8052430153 |   710091
 3644093336.8053560257 |   710090
 3644093337.8053641319 |   710092
 3644093338.8052692413 |   710094
 3644093339.8052773476 |   710098
 3644093340.8053913116 |   710104
 3644093341.8055043221 |   710108
 3644093342.8055129051 |   710112
 3644093343.8055210114 |   710116
 3644093344.8057379723 |   710117
 3644093345.8054351807 |   710116
 3644093346.8055472374 |   710112
  3644093347.807431221 |   710107
 3644093348.8057732582 |   710099
 3644093349.8054699898 |   710092
 3644093350.8055820465 |   710085
 3644093351.8055911064 |   710081
 3644093352.8055992126 |   710080
 3644093353.8056082726 |   710082
 3644093354.8055119514 |   710089
 3644093355.8055210114 |   710097
 3644093356.8059473038 |   710107
 3644093357.8056430817 |   710116
 3644093358.8055481911 |   710125
  3644093359.805557251 |   710129
 3644093360.8056702614 |   710129
 3644093361.8056769371 |   710126
 3644093362.8056869507 |   710117
 3644093363.8055911064 |   710107
 3644093364.8056001663 |   710095
 3644093365.8056092262 |   710085
 3644093366.8056182861 |   710078
 3644093367.8056259155 |   710073
 3644093368.8058419228 |   710074
 3644093369.8058519363 |   710077
 3644093370.8058600426 |   710086
 3644093371.8058691025 |   710097
 3644093372.8058781624 |   710109
 3644093373.8057823181 |   710121
 3644093374.8057909012 |   710130
 3644093375.8057999611 |   710136
 3644093376.8058080673 |   710138
 3644093377.8058171272 |   710134
 3644093378.8058252335 |   710128
  3644093379.806043148 |   710118
 3644093380.8060522079 |   710104
 3644093381.8059563637 |   710091
 3644093382.8058609962 |   710080
 3644093383.8058691025 |   710072
 3644093384.8058781624 |   710068
 3644093385.8059902191 |   710070
 3644093386.8058962822 |   710075
 3644093387.8059053421 |   710086
  3644093388.806016922 |   710098
 3644093389.8060259819 |   710112
 3644093390.8060350418 |   710125
  3644093391.806043148 |   710134
 3644093392.8061561584 |   710140
 3644093393.8059573174 |   710139
 3644093394.8061742783 |   710134
 3644093395.8061819077 |   710126
 3644093396.8060870171 |   710113
 3644093397.8060951233 |   710100
 3644093398.8062090874 |   710087
 3644093399.8062171936 |   710076
 3644093400.8062252998 |   710071
 3644093401.8061313629 |   710070
 3644093402.8061389923 |   710074
 3644093403.8062520027 |   710083
 3644093404.8061571121 |   710095
  3644093405.806166172 |   710108
 3644093406.8061742783 |   710121
 3644093407.8062872887 |   710131
 3644093408.8062963486 |   710137
  3644093409.806303978 |   710138
 3644093410.8066253662 |   710134
 3644093411.8062171936 |   710126
 3644093412.8062272072 |   710116
 3644093413.8062353134 |   710105
 3644093414.8062443733 |   710094
 3644093415.8062520027 |   710085
 3644093416.8062610626 |   710079
  3644093417.806374073 |   710077
 3644093418.8063821793 |   710079
 3644093419.8063921928 |   710083
 3644093420.8062963486 |   710092
  3644093421.806409359 |   710100
 3644093422.8063139915 |   710110
 3644093423.8063220978 |   710118
 3644093424.8064351082 |   710123
 3644093425.8063402176 |   710127
